URL,Title,Publication Date
https://nos.nl/artikel/2323257-xi-jinping-wist-begin-januari-al-van-risico-s-coronavirus.html,Xi Jinping wist begin januari al van risico s coronavirus,16/02/2020
https://nos.nl/artikel/2319844-ook-miljoenenstad-huanggang-legt-ov-plat-om-virus.html,Miljoenensteden China in isolatie om coronavirus,23/01/2020
https://nos.nl/artikel/2319844-miljoenensteden-china-in-isolatie-om-coronavirus,Miljoenensteden China in isolatie om coronavirus,23/01/2020
https://nos.nl/artikel/2321754-relatief-weinig-doden-door-coronavirus-maar-dat-is-juist-ook-een-risico,"relatief weinig doden door coronavirus , maar dat be juist ook een risico",05/02/2020
https://nos.nl/artikel/2323126-nog-meer-maatregelen-in-china-rond-coronavirus-bankbiljetten-uit-de-roulatie,nog meer maatregelen in China rond coronavirus   bankbiljetten uit de roulatie,15/02/2020
https://nos.nl/artikel/2323257-xi-jinping-wist-begin-januari-al-van-risico-s-coronavirus,Xi Jinping wist begin januari al van risico s coronavirus,16/02/2020
https://nos.nl/artikel/2322751-een-cruiseschip-als-mega-onderzoekslab-voor-het-coronavirus,een cruiseschip al mega - onderzoekslab voor het coronavirus,12/02/2020
https://nos.nl/artikel/2322301-zes-corona-evacues-landen-in-eindhoven-best-een-raar-gevoel,zes corona - evacu s landen in Eindhoven    good een raar gevoel,09/02/2020
https://nos.nl/artikel/2320635-al-jouw-vragen-over-het-virus-beantwoord-totdat-onze-correspondent-moest-stoppen,Al jouw vragen over het virus beantwoord   totdat onze correspondent moest stoppen,28/01/2020
https://nos.nl/artikel/2320607-philips-wil-af-van-airfryer-en-andere-consumentenapparatuur.html,Philips wil af van airfryer en andere consumentenapparatuur,28/01/2020
https://nos.nl/liveblog/2320883-uitbraak-nu-internationale-noodsituatie-who-chef-looft-chinese-aanpak,"Uitbraak nu internationale noodsituatie , who - chef looft chinese aanpak",30/01/2020
https://nos.nl/liveblog/2321018-witte-huis-roept-noodtoestand-uit-om-coronavirus-trump-neemt-maatregelen,"Witte Huis roept noodtoestand uit om coronavirus , Trump neemt maatregelen",31/01/2020
https://nos.nl/artikel/2321206-chinese-overheid-stel-je-bruiloft-uit-houd-begrafenissen-kort,"chinese overheid    Stel je bruiloft uit , houd begrafenissen kort",01/02/2020
https://nos.nl/artikel/2321546-china-nam-na-sars-epidemie-ook-maatregelen-maar-die-werden-niet-nageleefd,"  China nam na   SARS - epidemie ook maatregelen , maar die werden niet nageleefd",04/02/2020
https://nos.nl/liveblog/2327234-rivm-1413-positief-geteste-mensen-voorlopig-geen-bevolkingsonderzoek-meer-naar-kanker,"RIVM   1413 positief geteste mensen , voorlopig geen bevolkingsonderzoek meer naar kanker",16/03/2020
https://nos.nl/artikel/2327336-corona-overzicht-16-maart-de-wereld-neemt-ingrijpende-maatregelen.html,Corona - overzicht 16 maart   de wereld neemt ingrijpende maatregelen,16/03/2020
https://nos.nl/artikel/2327309-de-komende-tijd-zal-een-groot-deel-van-de-bevolking-met-het-virus-besmet-raken,  De komende tijd zal een groot deel van de bevolking meet het virus besmet raken,16/03/2020
https://nos.nl/artikel/2327103-corendon-schrapt-alle-reizen-nederlanders-overvallen-door-vliegbeperkingen,"Corendon schrapt alle reizen , Nederlanders overvallen door vliegbeperkingen",14/03/2020
https://nos.nl/artikel/2326786-vs-stelt-inreisverbod-in-voor-europese-landen-vanwege-corona-uitbraak.html,vs stelt inreisverbod in voor europese landen vanwege corona - uitbraak,12/03/2020
https://nos.nl/artikel/2326786-vs-stelt-inreisverbod-in-voor-europese-landen-vanwege-corona-uitbraak,vs stelt inreisverbod in voor europese landen vanwege corona - uitbraak,12/03/2020
https://nos.nl/artikel/2326888-nieuwe-corona-maatregelen-dit-betekenen-ze-voor-jou.html,nieuwe corona - maatregelen   dit betekenen ze voor jou,12/03/2020
https://nos.nl/artikel/2326868-corona-maatregelen-thuisblijven-bij-milde-griepklachten-evenementen-massaal-afgelast.html,"Corona - maatregelen   thuisblijven bij milde klachten , evenementen massaal afgelast",12/03/2020
https://nos.nl/artikel/2326868-corona-maatregelen-thuisblijven-bij-milde-klachten-evenementen-massaal-afgelast.html,"Corona - maatregelen   thuisblijven bij milde klachten , evenementen massaal afgelast",12/03/2020
https://nos.nl/nieuwsuur/artikel/2326774-corona-maatregelen-brabant-zouden-voor-heel-nederland-moeten-gelden,  Corona - maatregelen Brabant zouden voor heel Nederland moeten gelden,11/03/2020
https://nos.nl/nieuwsuur/artikel/2326774-corona-maatregelen-brabant-zouden-voor-heel-nederland-moeten-gelden.html,  Corona - maatregelen Brabant zouden voor heel Nederland moeten gelden,11/03/2020
