Date,EnergyPrice
30/04/2017,30.41
1/05/2017,36.99
2/05/2017,35.89
3/05/2017,36.11
4/05/2017,38.84
5/05/2017,37.4
6/05/2017,33.89
7/05/2017,32.43
8/05/2017,34.82
9/05/2017,39.81
10/05/2017,41.67
11/05/2017,38.53
12/05/2017,38.74
13/05/2017,32.07
14/05/2017,29.88
15/05/2017,36.43
16/05/2017,35.22
17/05/2017,34.85
18/05/2017,39.69
19/05/2017,34.66
20/05/2017,30.76
21/05/2017,31.78
22/05/2017,36.05
23/05/2017,34.12
24/05/2017,33.59
25/05/2017,29.57
26/05/2017,32.8
27/05/2017,30.68
28/05/2017,30.15
29/05/2017,38.01
30/05/2017,37.77
31/05/2017,33.76
1/06/2017,37.15
2/06/2017,36.45
3/06/2017,32.61
4/06/2017,27.43
5/06/2017,29.99
6/06/2017,26.39
7/06/2017,28.62
8/06/2017,32.09
9/06/2017,33.4
10/06/2017,31.03
11/06/2017,24.24
12/06/2017,31.45
13/06/2017,35.3
14/06/2017,37.42
15/06/2017,33.09
16/06/2017,31.8
17/06/2017,32.63
18/06/2017,30.27
19/06/2017,38.08
20/06/2017,35.69
21/06/2017,42.46
22/06/2017,39.07
23/06/2017,33.59
24/06/2017,28.24
25/06/2017,28.36
26/06/2017,34.4
27/06/2017,38.43
28/06/2017,35.4
29/06/2017,38.08
30/06/2017,33.94
1/07/2017,34.19
2/07/2017,32.34
3/07/2017,35.89
4/07/2017,38.7
5/07/2017,38.86
6/07/2017,41.44
7/07/2017,37.17
8/07/2017,34.4
9/07/2017,33.13
10/07/2017,39.95
11/07/2017,36.46
12/07/2017,34.64
13/07/2017,34.36
14/07/2017,33.87
15/07/2017,32.5
16/07/2017,30.53
17/07/2017,37.23
19/07/2017,34.69
20/07/2017,36.52
21/07/2017,34.99
22/07/2017,33.32
23/07/2017,31.38
24/07/2017,38.9
25/07/2017,33.48
26/07/2017,33.11
27/07/2017,33.06
28/07/2017,31.98
29/07/2017,27.02
30/07/2017,26.67
31/07/2017,32.75
1/08/2017,34.74
2/08/2017,33.02
3/08/2017,29.14
4/08/2017,31.85
5/08/2017,29.67
6/08/2017,23.16
7/08/2017,34.07
8/08/2017,32.57
10/08/2017,35.51
11/08/2017,37.17
12/08/2017,26.08
13/08/2017,23.81
14/08/2017,34.07
15/08/2017,34.08
16/08/2017,36.01
17/08/2017,33.48
18/08/2017,34.96
19/08/2017,23.06
20/08/2017,24.59
21/08/2017,35.72
22/08/2017,37.18
23/08/2017,36.57
24/08/2017,35.93
26/08/2017,35.44
27/08/2017,32.71
28/08/2017,38.66
29/08/2017,37.62
30/08/2017,36.32
31/08/2017,38.69
1/09/2017,38.82
2/09/2017,34.11
3/09/2017,32.41
4/09/2017,37.39
5/09/2017,37.66
6/09/2017,37.47
7/09/2017,39.48
8/09/2017,35.42
9/09/2017,39.38
10/09/2017,30.32
11/09/2017,35.54
12/09/2017,38
13/09/2017,35.98
14/09/2017,38.34
15/09/2017,40.94
17/09/2017,35.38
18/09/2017,43.3
19/09/2017,41.27
20/09/2017,40.64
22/09/2017,40.07
23/09/2017,36.61
24/09/2017,36.62
25/09/2017,42.4
26/09/2017,44.68
27/09/2017,44.95
28/09/2017,47.99
29/09/2017,41.71
30/09/2017,38.58
1/10/2017,34.98
2/10/2017,33.11
3/10/2017,35.79
4/10/2017,34.24
5/10/2017,37.36
6/10/2017,40.1
7/10/2017,40.45
8/10/2017,42.16
9/10/2017,52.79
10/10/2017,40.94
11/10/2017,40.29
13/10/2017,41.93
14/10/2017,38.03
15/10/2017,34.71
16/10/2017,43.95
17/10/2017,43.36
18/10/2017,54.18
19/10/2017,46.37
20/10/2017,36.62
21/10/2017,36.3
22/10/2017,35.24
23/10/2017,40.02
24/10/2017,38.46
25/10/2017,38.77
26/10/2017,42.48
27/10/2017,36.79
29/10/2017,34.44
31/10/2017,38.48
1/11/2017,39.17
2/11/2017,43.2
3/11/2017,49.48
7/11/2017,46.15
8/11/2017,60.56
9/11/2017,40.12
10/11/2017,41.17
11/11/2017,44.59
12/11/2017,44.13
13/11/2017,48.57
14/11/2017,54.98
16/11/2017,44.87
17/11/2017,45.3
19/11/2017,33.91
20/11/2017,42.74
21/11/2017,48.87
22/11/2017,41.21
23/11/2017,39.6
24/11/2017,63.78
